    PID TTY          TIME CMD
   4826 ?        00:00:00 chrome_crashpad
   4828 ?        00:00:00 chrome_crashpad
   4834 ?        00:00:00 chrome
   4835 ?        00:00:00 chrome
   4836 ?        00:00:00 nacl_helper
   4839 ?        00:00:00 chrome
   4863 ?        00:00:12 chrome
   4866 ?        00:00:06 chrome
   4885 ?        00:00:00 chrome
   4930 ?        00:00:06 chrome
   4952 ?        00:00:00 chrome
   4966 ?        00:00:00 chrome
   4997 ?        00:00:08 chrome
   5048 ?        00:00:00 kworker/u8:3-events_power_efficient
   5117 ?        00:00:00 kworker/1:1-events
   5118 ?        00:00:03 chrome
   5177 ?        00:00:01 chrome
   5225 ?        00:00:01 chrome
   5341 ?        00:00:00 kworker/u8:0-events_unbound
   5470 ?        00:00:03 chrome
   5486 ?        00:00:03 chrome
   5501 ?        00:00:02 chrome
   5670 ?        00:00:00 kworker/u8:1-ext4-rsv-conversion
   5713 ?        00:00:00 kworker/3:0
   5761 ?        00:00:00 gjs
   5819 ?        00:00:00 kworker/0:0-events
   5870 ?        00:00:00 kworker/2:0-events
   6242 ?        00:00:00 kworker/u8:2
   6324 ?        00:00:00 chrome
   6349 ?        00:00:01 chrome
   6365 ?        00:00:01 chrome
   6403 ?        00:00:00 chrome
   6415 ?        00:00:00 chrome
   6427 ?        00:00:00 chrome
   6438 ?        00:00:00 chrome
   6563 ?        00:00:11 clangd.main
   6592 ?        00:00:00 TaskManager
   6606 ?        00:00:00 sh
   6607 ?        00:00:00 ps
